iter	Passed	Remaining
871	3317	486
872	3321	483
873	3326	479
874	3330	475
875	3334	472
876	3338	468
877	3340	464
878	3344	460
879	3348	456
880	3353	452
881	3357	449
882	3359	445
883	3363	441
884	3367	437
885	3370	433
886	3374	429
887	3379	426
888	3383	422
889	3385	418
890	3389	414
891	3394	410
892	3397	407
893	3401	403
894	3405	399
895	3409	395
896	3413	391
897	3417	388
898	3421	384
899	3426	380
900	3430	376
901	3434	373
902	3438	369
903	3442	365
904	3445	361
905	3449	357
906	3452	354
907	3456	350
908	3461	346
909	3465	342
910	3469	338
911	3473	335
912	3478	331
913	3482	327
914	3486	323
915	3489	320
916	3493	316
917	3497	312
918	3501	308
919	3505	304
920	3509	301
921	3513	297
922	3517	293
923	3521	289
924	3525	285
925	3529	282
926	3532	278
927	3536	274
928	3540	270
929	3544	266
930	3547	262
931	3551	259
932	3555	255
933	3559	251
934	3562	247
935	3566	243
936	3570	240
937	3574	236
938	3578	232
939	3582	228
940	3586	224
941	3591	221
942	3593	217
943	3597	213
944	3599	209
945	3602	205
946	3607	201
947	3611	198
948	3616	194
949	3620	190
950	3624	186
951	3629	182
952	3632	179
953	3637	175
954	3641	171
955	3646	167
956	3651	164
957	3657	160
958	3663	156
959	3666	152
960	3671	149
961	3676	145
962	3681	141
963	3685	137
964	3689	133
965	3694	130
966	3697	126
967	3701	122
968	3705	118
969	3709	114
970	3714	110
971	3718	107
972	3722	103
973	3728	99
974	3731	95
975	3735	91
976	3739	88
977	3743	84
978	3747	80
979	3751	76
980	3755	72
981	3759	68
982	3763	65
983	3767	61
984	3772	57
985	3776	53
986	3779	49
987	3784	45
988	3788	42
989	3791	38
990	3796	34
991	3800	30
992	3803	26
993	3808	22
994	3812	19
995	3816	15
996	3820	11
997	3825	7
998	3828	3
999	3832	0
