网点ID,网点名称,经度,维度,城市,是否收费,网点类型,停车费,车位数,是否启用,管理人员ID,租金
352,大理国际会展中心停车场(地面),100.2625407,25.60032287,大理白族自治州,0,2,0,0,1,0,0
353,大理洱海环球时代(路面),100.276017,25.633891,大理白族自治州,0,2,0,10,1,0,0
354,大理港停车位(路侧),100.2340389,25.603779,大理白族自治州,0,2,0,0,1,0,0
355,下关四中停车位(路侧),100.2170878,25.62420703,大理白族自治州,0,2,0,0,1,0,0
356,大理初见客栈停车位(地面),100.1569941,25.69078175,大理白族自治州,0,2,0,0,1,249,0
357,大理古城古曼酒店停车位(路侧),100.1724954,25.69040746,大理白族自治州,0,2,0,0,1,0,0
358,大理古城兰林阁酒店还车点,100.160013,25.69852847,大理白族自治州,0,3,0,0,1,0,0
363,束河古镇雪山艺术小镇停车场还车点,100.2149858,26.92272962,丽江市,0,2,0,0,1,0,0
367,下关滨海大道,100.2488649,25.60889331,大理白族自治州,0,0,0,0,0,0,0
370,束河古镇北门停车场还车点,100.2059074,26.92771465,丽江市,0,2,0,0,1,0,0
371,不远行馆客栈还车网点,100.2086037,26.92357632,丽江市,0,2,0,0,1,0,0
372,大研古城片区金安路,100.2473115,26.87694859,丽江市,0,3,0,0,1,0,0
373,市一中后门路边停车位还车网点,100.2456245,26.87519378,丽江市,0,2,0,0,1,0,0
374,束河古镇北门,100.2071364,26.92747144,丽江市,0,3,0,0,1,0,0
375,大研古城长水路白龙广场,100.2303481,26.86996466,丽江市,0,3,0,0,1,0,0
376,大理苍山门停车位(地面),100.1536131,25.69738426,大理白族自治州,0,2,0,0,1,0,0
378,大理火车站停车位(路侧),100.2476912,25.59482509,大理白族自治州,1,2,0,0,1,0,0
379,大理可还车区域,100.2252835,25.71379027,大理白族自治州,0,0,0,0,1,0,0
380,大理送车片区模板,100.2171632,25.61052584,大理白族自治州,0,0,0,0,0,0,0
384,昆明市区还车范围,102.71161,25.04315672,昆明市,0,0,0,0,1,0,0
385,昆明彩云路还车范围,102.7597195,24.97531217,昆明市,0,0,0,0,1,0,0
386,昆明呈贡大学城还车范围,102.8505749,24.8541249,昆明市,0,0,0,0,1,0,0
387,昆明南亚风情城还车范围,102.6838873,25.00356309,昆明市,0,0,0,0,1,0,0
388,天府新城还车区域,104.0658918,30.54969052,成都市,0,0,0,0,0,0,0
389,高新区还车区域,104.0611409,30.58985815,成都市,0,0,0,0,0,0,0
390,光谷东湖高新区域网点（地面）,114.4188628,30.48092329,武汉市,0,0,0,2,0,0,0
391,光谷智慧园南门外停车场网点A（地面）,114.4184376,30.46381542,武汉市,2,2,0,5,0,1013,600
392,光谷万科嘉园东侧停车场网点（地面）,114.4401837,30.50170506,武汉市,0,2,0,2,0,0,0
394,光谷加州幼儿园停车场网点（地面）（临时活动网点，活动结束下线）,114.412535,30.47810372,武汉市,0,2,0,2,0,1013,0
